zipcode,population,median_age,household_income
1907,14418.0,44.7,103064.0
1908,3471.0,49.8,72625.0
1913,17082.0,43.4,75861.0
1915,40967.0,40.0,73839.0
1921,8198.0,45.6,153578.0
1922,2829.0,48.3,86806.0
1923,27419.0,45.0,79913.0
1929,3632.0,44.5,103750.0
1930,29546.0,48.8,63917.0
1938,13682.0,48.8,77788.0
1940,13143.0,45.5,112151.0
1944,5321.0,49.9,92604.0
1945,20363.0,48.0,103148.0
1949,9514.0,41.5,106326.0
1950,17837.0,48.9,87162.0
1951,4076.0,48.9,93040.0
1952,8899.0,46.2,65903.0
1960,51948.0,44.7,63822.0
1966,7167.0,52.3,68448.0
1969,6145.0,45.3,85496.0
1970,42650.0,36.3,61035.0
1982,8136.0,41.5,114907.0
1983,6434.0,47.2,128283.0
1984,5135.0,23.4,99375.0
1985,4484.0,45.8,138947.0
2019,16833.0,41.2,90630.0
2021,22562.0,42.0,93672.0
2025,8316.0,43.0,128224.0
2026,25272.0,42.4,87108.0
2030,5864.0,44.2,189265.0
2032,4070.0,43.2,100658.0
2035,17348.0,43.1,95665.0
2038,32873.0,40.6,108815.0
2043,22901.0,45.4,118148.0
2045,10437.0,52.3,78114.0
2048,23615.0,37.5,102090.0
2050,25961.0,45.1,84747.0
2052,12510.0,42.9,147630.0
2053,13135.0,40.7,109865.0
2054,8110.0,43.0,97591.0
2056,11442.0,43.4,138452.0
2061,10845.0,44.2,114560.0
2062,29018.0,40.5,83883.0
2066,17978.0,46.1,110492.0
2067,18066.0,42.8,129609.0
2071,1686.0,38.7,105865.0
2072,28260.0,43.2,75109.0
2081,19481.0,43.4,95592.0
2090,15364.0,45.7,140355.0
2093,11483.0,43.8,99924.0
2108,4049.0,35.2,115042.0
2109,4015.0,32.9,117344.0
2110,2124.0,53.6,120800.0
2111,7564.0,32.9,39670.0
2113,7495.0,30.2,86094.0
2114,13001.0,31.3,86863.0
2115,28976.0,22.1,35274.0
2116,23004.0,33.9,100674.0
2118,27664.0,33.6,59589.0
2119,26833.0,35.2,30278.0
2120,15322.0,23.5,29592.0
2121,28029.0,31.2,26313.0
2122,24624.0,34.2,53103.0
2124,52986.0,34.2,50044.0
2125,36353.0,31.9,49683.0
2126,29531.0,37.5,47902.0
2127,36311.0,31.1,85336.0
2128,46208.0,33.7,52152.0
2129,18314.0,34.0,90674.0
2130,39316.0,33.9,79419.0
2131,32459.0,37.5,68655.0
2132,28292.0,44.3,91273.0
2134,17598.0,26.8,47485.0
2135,40513.0,29.5,57330.0
2136,31762.0,37.2,62114.0
2138,37067.0,28.2,84305.0
2139,36338.0,29.8,82953.0
2140,19604.0,34.1,85417.0
2141,13059.0,32.2,73322.0
2142,2807.0,31.2,113950.0
2143,26800.0,31.8,80961.0
2144,24475.0,31.4,93234.0
2145,26006.0,34.2,62752.0
2148,60812.0,35.9,60045.0
2149,44496.0,34.9,52427.0
2150,38237.0,32.8,49643.0
2151,53172.0,39.0,51468.0
2152,18031.0,43.2,62997.0
2155,59348.0,34.9,79572.0
2163,2575.0,27.4,51500.0
2169,55876.0,39.1,62157.0
2170,19574.0,38.5,71065.0
2171,17899.0,40.0,73280.0
2176,27787.0,40.7,87712.0
2180,21831.0,44.9,83783.0
2184,37066.0,41.8,85863.0
2186,27351.0,38.8,122516.0
2188,15347.0,40.2,75129.0
2189,15076.0,40.7,51653.0
2190,16886.0,43.1,80139.0
2191,8292.0,46.3,70731.0
2199,1260.0,53.4,99250.0
2210,2461.0,35.5,155313.0
2215,24698.0,21.5,40115.0
2301,60659.0,35.1,44873.0
2302,34154.0,37.8,61527.0
2322,4476.0,44.8,68021.0
2324,27381.0,35.2,85992.0
2330,11557.0,46.0,75260.0
2332,15444.0,45.5,119428.0
2333,14222.0,43.0,82823.0
2338,7753.0,42.9,73119.0
2339,14332.0,42.4,105635.0
2341,10477.0,43.4,93517.0
2343,10654.0,44.7,66815.0
2346,24005.0,43.0,76968.0
2347,11230.0,44.3,93676.0
2351,16196.0,41.1,76989.0
2356,12498.0,41.8,109024.0
2359,18166.0,41.0,93075.0
2360,58024.0,44.6,80905.0
2364,13106.0,43.6,88694.0
2367,2913.0,45.8,84602.0
2368,33880.0,42.4,65473.0
2370,17725.0,41.2,70750.0
2375,10038.0,41.7,90313.0
2379,7044.0,44.0,80709.0
2382,14767.0,38.2,75898.0
2420,14325.0,45.9,156042.0
2421,18611.0,44.1,149414.0
2445,21029.0,34.7,102539.0
2446,29589.0,32.4,93750.0
2451,18130.0,37.9,91359.0
2452,15295.0,32.7,83283.0
2453,29256.0,32.0,75550.0
2458,12868.0,41.4,100768.0
2459,19020.0,42.5,150282.0
2460,10125.0,39.1,121250.0
2461,7267.0,43.9,156000.0
2462,1419.0,53.5,106324.0
2464,3136.0,40.8,95750.0
2465,11875.0,44.0,133958.0
2466,8573.0,34.5,107717.0
2467,22048.0,23.1,108413.0
2468,5485.0,47.8,190139.0
2472,33874.0,38.1,91991.0
2474,27916.0,39.9,100157.0
2476,16492.0,44.6,96442.0
2478,25548.0,41.3,114082.0
2481,16328.0,36.3,179655.0
2482,10959.0,43.0,158468.0
2492,20185.0,43.6,144898.0
2493,11946.0,43.3,191744.0
2494,9982.0,42.3,125481.0
2532,12370.0,47.6,70574.0
2534,952.0,49.7,85234.0
2535,1812.0,42.1,71667.0
2536,19366.0,48.2,67471.0
2537,6249.0,48.7,95465.0
2538,3228.0,35.6,65273.0
2539,4247.0,49.0,70556.0
2540,8635.0,57.2,64509.0
2542,756.0,26.5,44405.0
